委員,政黨,度數中心性,加權度數中心性,介數中心性,特徵向量中心性,接近中心性,LeaderRank,核數,社區,會議數量,會議加權介數中心性,會議加權LeaderRank,會議加權特徵向量中心性,會議加權核數
吳斯懷,國民黨,0.9401709401709403,0.015777630509908755,0.001801389709195804,0.07097660571475761,0.31536388140161725,0.00793725537173201,100,6,237,0.009857692077485785,0.04343480980017046,0.3884031979696113,547.2270673671475
蘇治芬,民進黨,0.9914529914529916,0.01554924050964667,0.02973156382544364,0.07582422097570253,0.3848684210526316,0.0077750512883612,100,1,210,0.15911911168016335,0.04161097147580946,0.40580047374330014,535.1858133476067
黃世杰,民進黨,1.0,0.01543317346033315,0.0034875583743102477,0.07311486417144085,0.3170731707317073,0.007855821810631318,100,4,264,0.01945963348100691,0.04383336326441265,0.4079611883403199,557.9729825986223
陳秀寳,民進黨,0.9743589743589745,0.015425685263603245,1.2280184693977796e-05,0.06896714976518907,0.29545454545454547,0.007829129535539336,100,0,230,6.68338946669834e-05,0.04260939324218854,0.3753480373262739,544.2417710521793
黃國書,民進黨,0.9743589743589745,0.015369523788128961,0.0004932005153048478,0.06902260992185334,0.2881773399014778,0.0077845557692299994,100,0,234,0.0026926703889267817,0.04250044791173545,0.3768348412777734,545.9585514144159
吳思瑤,民進黨,0.9743589743589745,0.01533208280447944,0.012540906714827466,0.06901528464837244,0.36792452830188677,0.007799867333392767,100,0,242,0.06888797113974933,0.04284515051223126,0.3791051991031475,549.3061443340548
翁重鈞,國民黨,0.9743589743589745,0.015253456738815441,0.0013330252941216687,0.07342117249867477,0.31451612903225806,0.007700995911222056,100,1,237,0.0072946752242843,0.0421419340830444,0.4017805290910726,547.2270673671475
羅美玲,國民黨,0.982905982905983,0.015245968542085538,0.00019489507774211575,0.06851618551964742,0.29177057356608477,0.007850313201367667,100,4,251,0.001077658511880055,0.0434077501617173,0.3788553891776674,552.9429087511423
張宏陸,民進黨,0.9743589743589745,0.015242224443720585,0.010135314146638678,0.06840339329929675,0.3667711598746082,0.00784783754946613,100,4,234,0.05533461429628889,0.04284594020242188,0.3734541751751461,545.9585514144159
莊競程,民進黨,0.9658119658119659,0.015186062968246301,0.0028353654085902878,0.06827106505537044,0.33238636363636365,0.0076892332842608225,100,2,195,0.014965383727355522,0.040584654915900256,0.360342509270031,527.8114659230516
林宜瑾,民進黨,0.9743589743589745,0.015156110181326683,0.0014008411112743564,0.06766013181868846,0.31283422459893045,0.007710583355558093,100,0,231,0.007630013632544601,0.041997522520066485,0.36852696854871925,544.673737166631
陳明文,民進黨,0.9914529914529916,0.01514862198459678,0.005581075228902597,0.07208189509187789,0.3556231003039514,0.007697020551521711,100,1,221,0.030152748905719715,0.041584518841512444,0.38943522425537913,540.2677381872279
黃秀芳,民進黨,0.9743589743589745,0.014688097885707654,0.000230491665062841,0.06595895807762708,0.3087071240105541,0.007501045981225962,100,2,181,0.0011994801663024895,0.039035493446370424,0.34325085890858936,520.4006687076795
羅致政,民進黨,0.982905982905983,0.0146843537873427,0.0013221288512966047,0.06561458493444272,0.3333333333333333,0.007524368715287321,100,6,248,0.007294783660086008,0.041515349962230455,0.36202538169687054,551.7452896464707
林思銘,民眾黨,1.0,0.014429755098525949,0.0020778319753274105,0.06808023881312474,0.33620689655172414,0.007421445517181364,100,4,240,0.01139648644658461,0.04070512161470431,0.373406285073538,548.4796933490654
林淑芬,民進黨,0.9658119658119659,0.014414778705066139,0.015515474114687431,0.06435049371151184,0.3667711598746082,0.0073714816440803915,100,6,215,0.08339999299366194,0.0396237661140655,0.34590181937130526,537.5278407684166
王美惠,民進黨,0.982905982905983,0.014235061983548432,1.8420277040966695e-05,0.06433695616689747,0.2577092511013216,0.007413295181101851,100,4,228,0.00010009066466906572,0.04028178514439574,0.34958913436577543,543.372200355424
管碧玲,民進黨,0.9572649572649574,0.014107762639140056,0.001352926948590209,0.06490253332893522,0.3136729222520107,0.007305228036115848,100,4,207,0.0072212991071543475,0.038991932823670014,0.3464197431122757,533.7538079701318
林昶佐,時代力量,0.9743589743589745,0.014025392475111106,0.004255026582189321,0.06077440705331472,0.32142857142857145,0.007228901369349821,100,6,226,0.023083306531431792,0.039216428610025646,0.3296981206063016,542.4950017481403
林俊憲,民進黨,0.9914529914529916,0.013879372638877969,0.007042954041316462,0.06193306162368538,0.3482142857142857,0.0073394946918403856,100,5,222,0.03808246227989734,0.03968590851450072,0.33488270253169156,540.7171771460119
陳瑩,民進黨,0.9914529914529916,0.013733352802644832,0.001193780634237474,0.06161185486126293,0.33238636363636365,0.00711251403116031,100,2,183,0.006225489316226137,0.037091303747593535,0.3213018650086151,521.4935757608986
李昆澤,民進黨,0.9914529914529916,0.013707144114090165,0.002976735397155669,0.06125281598052216,0.35240963855421686,0.007269274185270309,100,5,214,0.015986968323637937,0.03904064037629945,0.3289667028348981,537.0638028127662
何志偉,民進黨,0.9487179487179488,0.013695911818995309,0.004080672984103055,0.06169951426949412,0.3482142857142857,0.00707713348146419,100,6,222,0.022064899768201963,0.038267276383828444,0.3336198718708094,540.7171771460119
張廖萬堅,民進黨,0.9230769230769231,0.013441313130178555,0.004709472681819768,0.06034839581553662,0.34718100890207715,0.0069820832906481506,100,0,217,0.025358132403598632,0.03759499300647716,0.3249456393159987,538.4495062789089
趙天麟,民進黨,0.9487179487179488,0.013418848539988842,0.0,0.05834978633061207,0.2881773399014778,0.00695947450397728,100,6,210,0.0,0.03724612022883012,0.3122797785600768,535.1858133476067
林為洲,國民黨,1.0,0.013310269687405228,0.0,0.06202050873820368,0.30952380952380953,0.006970784766083145,100,2,226,0.0,0.037816158938621856,0.3364581599635236,542.4950017481403
蔣萬安,國民黨,0.9230769230769231,0.013299037392310371,0.0004758577702874785,0.06070413911044347,0.32142857142857145,0.006849309157013279,100,2,168,0.002441102164283895,0.03513626224267326,0.3114060852131754,512.9898714923073
鄭運鵬,民進黨,0.982905982905983,0.013276572802120657,0.006539904242072746,0.06568272133497523,0.325,0.006862603593172115,100,1,222,0.03536238560578804,0.03710727642772104,0.35515775667515936,540.7171771460119
沈發惠,民進黨,0.9743589743589745,0.013167993949537042,0.0001088072208761864,0.0685080166357839,0.28888888888888886,0.006776301835131597,100,3,222,0.0005883393332527413,0.03664062799781697,0.3704346136717309,540.7171771460119
邱議瑩,民進黨,0.982905982905983,0.013014485916574,0.009268417451353067,0.06354933067955461,0.3314447592067989,0.006715681188590626,100,1,191,0.04872866185651028,0.03530766276902925,0.33411031194322144,525.7495372027781
