委員,政黨,主題數量,主題1,主題1評分,主題1關鍵詞,主題2,主題2評分,主題2關鍵詞,主題3,主題3評分,主題3關鍵詞,主題4,主題4評分,主題4關鍵詞,主題5,主題5評分,主題5關鍵詞
洪申翰,民進黨,142,1,62.02858627009964,"氣候變遷, 環保署, 減碳",38,54.05411197034661,"原能會, 核能, 核廢料",18,33.462732986509906,"廢棄物, 環保署, 垃圾",15,30.26142323640349,"雇主, 職災, 移工",153,24.522750470808383,"漁電共生, 養殖, 光電"
高金素梅,國民黨,114,103,84.10019263869033,"原住民 學校, 原民會, 原住民族學校法",24,67.45524229002702,"農田水利, 水利會, 台糖",129,60.487598684899964,"股東會, 股東, 日盛",35,54.003926904303135,"原民會, 部落, 原住民 健康",168,34.873097884374296,"紅色 供應鏈, 供應鏈, 紅色"
吳秉叡,民進黨,114,17,49.85569964453158,"稅收, 稅率, 還稅於民",7,40.7121371518114,"央行, 國發基金, 主權基金",87,36.296381445371054,"總裁, 央行, 升息",83,26.70620700405601,"pcr, 健身房, 試劑",129,26.00204661993499,"股東會, 股東, 日盛"
王定宇,民進黨,129,4,49.52387979325359,"退輔會, 教召, 軍人",31,45.05980537933548,"國軍, 中科院, 國防",3,32.61487325568691,"兩岸, 習近平, 陸委會",45,28.053641762762098,"軍事, 戰爭, 國防",68,26.604308958686666,"獵槍, 原民會, 保留地"
鍾佳濱,民進黨,191,6,51.59447420842503,"農民, 農會, 肥料",7,45.307296689385794,"央行, 國發基金, 主權基金",17,39.49469569170149,"稅收, 稅率, 還稅於民",36,33.05221120506312,"監察委員, 人權委員會, 考試院",71,29.981663461867644,"法官, 審判, 國民法官"
鄭運鵬,民進黨,164,36,29.483495775310192,"監察委員, 人權委員會, 考試院",34,22.94400428776536,"大法官, 國民法官, 司法院",6,21.785760759700192,"農民, 農會, 肥料",140,20.81902591703664,"毒品, 調查局, 證物",114,18.73963848914184,"檢察官, 起訴, 書記官"
管碧玲,民進黨,153,9,32.86534223357357,"投票, 中選會, 不在籍",68,25.80502578584888,"獵槍, 原民會, 保留地",143,22.836448608818294,"修憲, 公民權, 修憲 門檻",168,19.335039832215507,"紅色 供應鏈, 供應鏈, 紅色",14,17.779440327191082,"故宮, 博物館, 文物"
柯建銘,民進黨,72,25,40.00000040481707,"黨產會, 表決, 不當黨產",93,38.08096137354712,"總預算, 表決, 開議",13,27.729470611844683,"臺鐵, 鐵道局, 高鐵",179,27.04976422838776,"駭客, 攻擊, 簡訊",143,15.267498379229645,"修憲, 公民權, 修憲 門檻"
蘇巧慧,民進黨,136,2,41.34898623486759,"高端, 萬劑, 施打",1,34.109639772814866,"氣候變遷, 環保署, 減碳",15,27.44762066983017,"雇主, 職災, 移工",38,25.069176136445385,"原能會, 核能, 核廢料",16,23.237918224313773,"醫師, 護理, 物理治療師"
邱議瑩,民進黨,135,6,28.457265571951133,"農民, 農會, 肥料",58,28.164681921604288,"農民, 老農, 農保",8,24.014264071372445,"用水, 水庫, 自來水",0,19.183279837508387,"豬肉, 萊克多巴胺, 標示",191,18.38707969700123,"僑委會, 僑界, 僑民"
吳思瑤,民進黨,144,42,38.56718840567184,"國科會, 科技部, 公報 公報",19,38.35805046530975,"教師, 私校, 私立學校",11,32.11199308544697,"體育署, 選手, 體育",14,32.086376806628145,"故宮, 博物館, 文物",43,28.153864146056435,"校長, 學院, 校務"
陳秀寳,民進黨,131,29,34.94978645892859,"藝文, 漫畫, 藝術",14,34.21146925803562,"故宮, 博物館, 文物",11,34.154990375270486,"體育署, 選手, 體育",42,32.53450923597579,"國科會, 科技部, 公報 公報",38,29.374260759699563,"原能會, 核能, 核廢料"
